gender,ssc_p,hsc_p,degree_p,degree_t,work_exp,etest_p,coding_score,soft_skills_score,internships,projects_count,status,salary
F,85.4,78.2,61.6,Sci&Tech,No,83.7,62.9,77.6,2,2,Placed,6.5
M,88.7,56.2,64.3,Comm&Mgmt,Yes,46.7,39.9,82.2,2,1,Not Placed,0.0
M,83.0,78.0,73.9,Sci&Tech,No,85.8,62.6,79.5,0,2,Placed,6.8
M,67.3,75.6,69.1,Sci&Tech,Yes,88.6,63.7,72.8,0,2,Placed,8.4
M,76.4,49.3,48.6,Comm&Mgmt,Yes,68.4,76.9,67.5,0,1,Not Placed,0.0
M,71.7,61.9,49.8,Sci&Tech,No,40.8,58.2,63.7,2,2,Not Placed,0.0
M,62.1,84.3,64.9,Comm&Mgmt,No,67.7,91.5,86.2,0,2,Not Placed,0.0
M,75.6,58.2,75.6,Sci&Tech,No,71.2,41.2,62.3,1,3,Not Placed,0.0
M,59.0,64.4,48.0,Sci&Tech,No,59.9,86.4,58.6,1,4,Placed,8.4
F,85.1,75.5,66.0,Sci&Tech,No,65.8,64.9,77.3,2,4,Placed,8.3
M,66.9,79.4,65.7,Comm&Mgmt,Yes,90.4,80.0,61.2,0,4,Placed,10.5
M,74.2,67.0,84.9,Comm&Mgmt,No,80.0,69.1,59.5,1,1,Placed,10.0
F,75.1,62.8,67.1,Comm&Mgmt,Yes,60.9,84.0,54.1,1,1,Placed,10.4
M,69.2,87.1,74.8,Sci&Tech,Yes,52.8,62.6,64.7,1,2,Not Placed,0.0
M,78.5,90.9,72.4,Comm&Mgmt,No,68.1,52.6,69.1,2,3,Not Placed,0.0
M,66.8,81.7,49.7,Sci&Tech,No,69.4,87.9,72.7,0,4,Not Placed,0.0
F,81.6,71.0,78.7,Sci&Tech,No,78.0,66.4,80.5,2,3,Placed,9.3
M,57.2,60.3,73.2,Comm&Mgmt,No,65.6,71.1,75.8,1,1,Placed,9.2
F,73.4,60.0,76.1,Sci&Tech,No,78.1,85.3,67.9,1,4,Placed,10.8
M,93.3,76.3,98.0,Sci&Tech,No,95.2,53.6,67.8,1,2,Placed,8.8
M,61.0,75.0,50.2,Sci&Tech,No,81.8,76.3,75.6,1,1,Placed,7.4
M,64.5,86.8,88.2,Sci&Tech,No,71.4,59.7,84.0,0,2,Not Placed,0.0
M,77.7,77.8,68.1,Sci&Tech,Yes,69.8,66.1,71.4,1,1,Placed,8.7
F,74.0,52.0,73.9,Comm&Mgmt,Yes,67.7,69.0,64.8,1,2,Not Placed,0.0
F,75.9,82.6,70.5,Sci&Tech,No,86.2,47.0,59.1,1,2,Placed,5.0
F,77.4,58.0,66.8,Comm&Mgmt,No,64.5,57.1,54.1,1,2,Not Placed,0.0
M,79.0,65.4,65.3,Comm&Mgmt,No,72.5,86.9,77.3,2,2,Placed,11.0
M,84.2,73.0,74.3,Sci&Tech,No,72.6,80.4,76.4,1,3,Placed,10.2
F,76.5,93.9,55.8,Sci&Tech,No,66.0,67.1,76.4,0,2,Not Placed,0.0
M,69.3,98.0,78.5,Sci&Tech,No,55.5,71.4,68.6,1,2,Placed,9.5
M,79.4,77.3,66.8,Comm&Mgmt,No,75.9,63.9,85.5,2,3,Placed,7.9
M,92.9,67.8,59.7,Sci&Tech,No,71.3,87.0,64.7,2,4,Placed,10.5
M,70.5,76.4,66.5,Comm&Mgmt,No,78.0,65.2,80.5,1,1,Placed,6.9
F,61.3,80.7,83.6,Sci&Tech,Yes,65.6,71.2,69.6,2,2,Placed,12.0
F,84.2,66.2,65.6,Comm&Mgmt,Yes,86.6,84.0,63.3,0,2,Placed,10.7
F,70.7,91.5,74.6,Sci&Tech,Yes,61.5,57.1,76.5,1,1,Placed,8.3
M,48.1,72.8,63.7,Sci&Tech,No,92.5,89.8,74.5,2,2,Placed,11.6
M,81.3,76.0,78.6,Others,No,51.0,46.6,73.9,2,3,Not Placed,0.0
M,66.1,78.0,77.9,Comm&Mgmt,Yes,77.2,90.8,70.9,1,1,Placed,14.0
M,71.0,75.1,89.5,Sci&Tech,No,77.7,62.8,69.6,2,3,Placed,10.2
M,75.7,80.1,69.2,Comm&Mgmt,Yes,62.5,64.6,96.3,0,3,Placed,8.1
F,74.1,62.6,77.7,Sci&Tech,No,77.1,41.5,83.0,2,4,Placed,5.1
F,79.8,63.3,72.0,Comm&Mgmt,No,87.4,61.6,78.0,1,2,Placed,7.3
M,67.2,56.8,84.0,Comm&Mgmt,Yes,45.4,53.4,71.2,0,4,Not Placed,0.0
F,77.6,75.3,63.8,Sci&Tech,No,78.0,59.5,81.1,0,2,Placed,5.3
F,69.1,79.3,78.5,Sci&Tech,Yes,42.1,66.1,75.7,1,2,Not Placed,0.0
M,80.1,75.5,69.1,Sci&Tech,Yes,60.4,81.4,70.3,0,1,Placed,11.0
F,78.8,90.1,70.4,Sci&Tech,Yes,91.5,70.9,66.7,1,1,Placed,9.5
M,61.7,69.9,71.9,Comm&Mgmt,No,65.0,72.3,69.1,0,3,Placed,8.5
M,83.9,78.0,73.5,Sci&Tech,No,57.9,52.7,35.1,0,2,Not Placed,0.0
M,66.1,56.9,69.8,Sci&Tech,Yes,69.6,55.7,72.3,1,2,Placed,7.9
F,80.9,65.4,73.1,Comm&Mgmt,No,96.8,93.2,64.6,1,1,Placed,12.3
M,76.0,78.3,86.8,Others,No,50.0,57.7,87.5,1,2,Placed,9.2
M,92.2,80.2,80.9,Sci&Tech,Yes,59.4,91.2,70.2,2,1,Placed,15.2
M,69.5,66.5,79.7,Sci&Tech,No,90.0,64.6,56.9,2,3,Placed,10.1
M,68.2,69.1,66.4,Sci&Tech,Yes,94.3,68.0,69.5,2,1,Placed,10.3
F,71.8,51.8,62.1,Sci&Tech,Yes,70.8,83.0,58.5,1,1,Placed,10.2
F,68.7,65.7,80.6,Others,No,57.1,85.8,75.2,2,2,Placed,13.6
M,80.8,80.7,79.8,Sci&Tech,Yes,97.2,66.4,73.2,0,2,Placed,9.2
M,54.2,76.9,85.7,Comm&Mgmt,No,91.1,62.6,80.5,0,2,Placed,8.5
M,60.4,76.0,65.0,Sci&Tech,No,80.1,67.2,61.3,1,2,Not Placed,0.0
M,60.3,70.6,68.7,Comm&Mgmt,Yes,62.3,72.7,70.4,2,4,Placed,10.8
M,82.5,70.1,54.6,Comm&Mgmt,No,71.4,80.5,55.0,0,2,Not Placed,0.0
M,90.8,62.1,67.1,Comm&Mgmt,Yes,70.1,68.1,77.7,0,1,Placed,8.1
M,70.9,78.4,81.0,Sci&Tech,No,76.0,76.7,75.7,0,2,Placed,9.9
F,70.1,75.1,66.3,Sci&Tech,No,89.4,90.9,75.5,2,3,Placed,12.4
F,72.8,75.9,77.4,Sci&Tech,No,82.6,73.3,70.0,1,2,Placed,9.8
M,84.8,63.7,69.1,Others,No,59.1,72.4,74.6,0,1,Not Placed,0.0
M,61.8,45.0,74.2,Comm&Mgmt,Yes,88.5,46.7,87.6,1,3,Placed,6.4
F,74.6,83.2,59.5,Comm&Mgmt,No,75.8,31.2,66.9,1,2,Not Placed,0.0
M,82.7,64.3,71.9,Comm&Mgmt,No,80.2,73.4,71.5,1,2,Placed,9.9
F,77.5,59.6,48.0,Comm&Mgmt,No,89.6,66.7,58.1,0,1,Not Placed,0.0
F,74.1,78.3,69.1,Sci&Tech,No,58.7,60.8,60.4,2,1,Not Placed,0.0
M,83.0,65.3,54.7,Others,No,71.6,71.4,71.1,1,2,Placed,6.5
M,45.0,82.7,83.1,Sci&Tech,Yes,65.6,67.2,82.1,1,1,Placed,10.6
F,79.5,77.4,78.8,Sci&Tech,Yes,53.2,83.8,67.2,0,2,Placed,12.1
M,64.8,78.2,75.7,Sci&Tech,No,76.2,69.2,67.4,1,2,Not Placed,0.0
F,51.9,53.6,86.2,Sci&Tech,No,99.0,57.5,65.5,1,2,Not Placed,0.0
F,77.6,84.5,61.5,Sci&Tech,No,49.9,81.9,64.1,1,4,Not Placed,0.0
M,87.1,73.1,88.5,Comm&Mgmt,No,71.6,65.0,73.2,0,3,Placed,9.0
M,70.5,65.6,80.3,Sci&Tech,No,79.7,75.4,53.5,2,3,Placed,11.0
F,82.5,71.7,68.6,Comm&Mgmt,Yes,73.5,61.3,84.1,0,1,Placed,7.7
M,89.7,48.7,82.4,Sci&Tech,No,70.6,58.9,62.7,1,1,Placed,8.8
M,86.5,74.9,59.9,Sci&Tech,Yes,56.4,69.2,77.9,2,2,Placed,8.9
F,90.0,57.6,62.8,Sci&Tech,No,74.8,68.2,56.0,1,1,Not Placed,0.0
M,80.2,53.8,64.9,Sci&Tech,No,62.9,74.7,77.4,2,4,Not Placed,0.0
F,72.8,51.7,65.7,Comm&Mgmt,No,45.7,64.2,77.4,1,1,Not Placed,0.0
F,54.4,83.4,60.4,Sci&Tech,Yes,86.3,42.3,74.2,1,2,Placed,4.7
M,69.3,62.4,83.2,Comm&Mgmt,No,83.5,61.9,59.1,2,2,Placed,9.6
M,62.7,88.4,68.4,Sci&Tech,No,72.6,79.1,72.7,0,2,Placed,8.8
M,95.9,63.6,74.5,Comm&Mgmt,No,74.7,63.8,57.0,1,1,Placed,8.1
M,70.1,49.5,65.3,Others,Yes,84.9,64.6,67.2,2,2,Placed,9.7
M,73.4,56.6,52.8,Comm&Mgmt,No,74.7,81.8,81.3,1,2,Not Placed,0.0
F,78.1,84.8,73.7,Sci&Tech,No,82.8,58.0,78.8,1,3,Placed,7.7
M,72.5,68.1,51.9,Sci&Tech,Yes,68.4,46.4,70.2,1,1,Not Placed,0.0
M,90.6,63.4,70.3,Sci&Tech,Yes,87.7,65.8,59.3,2,4,Placed,10.8
F,65.2,71.9,57.3,Comm&Mgmt,Yes,75.8,61.2,77.1,3,3,Placed,8.5
M,74.1,76.0,90.9,Sci&Tech,No,74.3,54.5,70.2,1,2,Placed,8.4
F,63.8,83.4,80.1,Sci&Tech,No,56.8,65.5,44.5,1,3,Not Placed,0.0
M,57.5,87.4,72.1,Comm&Mgmt,No,75.4,74.9,78.6,2,1,Placed,9.6
M,65.3,65.7,83.6,Sci&Tech,Yes,62.0,67.9,69.7,0,4,Placed,10.3
F,71.6,54.1,62.5,Comm&Mgmt,No,64.3,72.3,83.2,0,2,Not Placed,0.0
F,67.3,65.0,76.4,Sci&Tech,No,62.2,93.4,58.0,1,2,Placed,13.4
F,64.4,73.1,73.0,Sci&Tech,No,59.2,63.2,35.1,2,2,Placed,9.2
F,56.5,58.4,73.6,Comm&Mgmt,No,97.5,71.9,73.1,2,1,Placed,9.7
F,71.1,58.5,83.7,Sci&Tech,Yes,88.0,60.9,73.2,1,4,Placed,9.9
M,55.4,74.1,78.3,Comm&Mgmt,No,95.0,56.2,51.4,0,1,Not Placed,0.0
M,80.4,69.4,73.9,Sci&Tech,No,57.3,59.8,59.2,1,2,Placed,7.2
F,72.9,70.4,54.5,Sci&Tech,No,72.9,61.3,98.0,0,2,Not Placed,0.0
F,56.0,60.9,61.4,Comm&Mgmt,No,56.5,73.0,66.6,0,4,Not Placed,0.0
F,68.6,67.2,69.8,Comm&Mgmt,No,63.7,99.0,78.0,2,1,Placed,13.4
M,63.7,58.9,71.9,Comm&Mgmt,No,61.0,58.0,62.8,0,2,Not Placed,0.0
M,75.5,80.7,59.7,Sci&Tech,Yes,86.9,62.2,47.0,2,2,Placed,7.6
F,86.7,82.4,95.1,Comm&Mgmt,Yes,67.2,67.1,68.1,1,3,Placed,12.6
M,51.4,47.8,86.2,Sci&Tech,No,84.8,73.5,67.1,1,1,Placed,10.9
F,73.3,58.8,77.0,Sci&Tech,No,79.2,71.7,65.6,0,1,Not Placed,0.0
F,70.2,52.0,71.7,Others,Yes,99.0,86.0,68.7,1,1,Placed,12.4
M,79.4,62.2,68.9,Sci&Tech,Yes,54.2,34.0,72.9,0,3,Not Placed,0.0
F,74.3,69.0,61.5,Others,Yes,87.1,34.6,68.3,3,1,Placed,5.2
F,63.7,52.6,71.8,Sci&Tech,No,85.8,61.1,56.1,2,2,Placed,7.7
M,68.5,58.9,73.6,Sci&Tech,Yes,60.3,83.4,75.3,1,1,Placed,12.4
F,63.2,58.0,58.6,Sci&Tech,Yes,84.1,46.1,48.6,0,3,Not Placed,0.0
M,83.8,72.5,74.3,Comm&Mgmt,Yes,76.0,30.0,47.4,3,4,Placed,6.8
F,72.2,70.8,69.4,Comm&Mgmt,No,69.3,76.0,78.1,1,2,Not Placed,0.0
M,92.9,61.3,51.9,Comm&Mgmt,Yes,62.1,71.4,75.6,0,2,Not Placed,0.0
F,71.3,72.1,62.4,Comm&Mgmt,No,63.4,52.7,69.4,1,1,Not Placed,0.0
M,64.2,63.4,66.9,Comm&Mgmt,Yes,96.6,54.2,54.7,3,1,Placed,8.7
M,55.3,66.7,89.9,Comm&Mgmt,No,72.0,54.4,62.2,0,2,Not Placed,0.0
F,52.2,90.1,76.6,Sci&Tech,Yes,81.4,69.5,67.1,0,2,Placed,8.8
M,54.6,86.1,57.6,Sci&Tech,No,62.5,59.2,52.4,3,2,Placed,7.6
M,74.9,54.4,75.9,Sci&Tech,No,62.6,74.9,61.9,0,4,Not Placed,0.0
F,77.6,80.0,55.5,Others,No,85.0,30.0,77.2,0,2,Not Placed,0.0
F,54.6,79.7,81.8,Others,No,55.8,56.0,85.7,1,2,Not Placed,0.0
M,81.8,56.2,66.3,Sci&Tech,Yes,67.0,52.2,65.4,2,2,Placed,7.2
F,66.7,79.8,70.1,Comm&Mgmt,Yes,72.4,64.4,78.3,1,2,Placed,8.6
M,73.6,88.5,84.3,Others,No,73.3,60.5,48.9,3,2,Placed,10.5
M,89.7,56.5,58.1,Sci&Tech,No,69.9,79.2,77.3,1,2,Not Placed,0.0
M,81.9,59.0,57.0,Comm&Mgmt,No,76.7,42.0,61.2,0,2,Not Placed,0.0
F,69.0,82.2,65.2,Others,No,80.3,68.6,73.4,3,3,Placed,8.9
F,62.2,73.3,81.4,Sci&Tech,No,80.8,75.8,67.3,1,4,Placed,10.4
F,48.3,76.6,55.8,Comm&Mgmt,No,60.2,94.0,84.5,0,2,Not Placed,0.0
F,64.1,74.1,48.0,Sci&Tech,Yes,68.6,61.3,60.4,1,1,Not Placed,0.0
M,69.7,74.7,66.5,Others,No,86.3,72.5,76.9,1,2,Placed,8.7
M,61.1,54.1,76.5,Others,No,82.7,42.7,66.9,0,2,Not Placed,0.0
M,70.6,82.6,83.0,Others,Yes,55.5,34.5,68.3,0,1,Not Placed,0.0
M,72.8,84.0,66.4,Sci&Tech,No,76.2,79.8,68.0,1,3,Placed,9.6
M,69.5,67.2,66.9,Comm&Mgmt,Yes,48.3,67.9,60.7,2,4,Placed,9.5
F,64.8,69.5,82.5,Comm&Mgmt,No,72.6,84.5,69.8,1,4,Placed,12.0
M,73.9,51.6,52.3,Sci&Tech,Yes,94.8,48.8,69.3,3,1,Placed,5.5
M,76.9,76.2,67.1,Comm&Mgmt,No,60.6,75.3,72.7,0,3,Placed,8.1
M,60.0,76.9,72.9,Sci&Tech,No,62.0,94.2,70.9,0,3,Placed,12.0
F,87.5,69.3,75.5,Comm&Mgmt,Yes,81.2,73.9,78.8,0,2,Placed,10.5
F,70.9,83.5,65.9,Sci&Tech,No,53.5,71.9,80.2,0,2,Not Placed,0.0
M,72.2,66.0,71.3,Sci&Tech,No,64.4,68.1,58.4,0,3,Not Placed,0.0
M,79.8,76.8,48.0,Sci&Tech,No,79.2,46.0,79.6,2,2,Not Placed,0.0
F,74.6,57.8,64.4,Comm&Mgmt,Yes,64.4,87.0,57.0,2,2,Placed,12.3
M,82.5,69.7,75.5,Sci&Tech,No,69.2,59.4,76.5,3,2,Placed,9.5
F,75.2,67.9,61.2,Comm&Mgmt,Yes,80.9,75.1,76.8,0,2,Placed,8.3
F,65.3,72.7,71.6,Sci&Tech,No,77.1,46.1,49.0,2,1,Placed,6.0
M,76.0,65.6,75.5,Sci&Tech,No,75.2,51.5,71.0,1,4,Placed,6.7
M,59.4,68.4,67.6,Sci&Tech,No,67.9,88.1,64.8,0,2,Placed,9.8
F,73.2,79.9,72.7,Comm&Mgmt,No,76.4,63.1,61.7,2,2,Placed,8.4
M,71.6,64.8,61.4,Sci&Tech,No,70.5,88.3,84.9,1,1,Placed,10.3
M,69.7,50.7,68.9,Comm&Mgmt,No,77.5,66.9,62.8,0,2,Not Placed,0.0
F,70.6,91.0,77.1,Comm&Mgmt,Yes,66.0,42.2,61.1,1,1,Placed,6.4
F,51.3,86.6,72.6,Comm&Mgmt,No,69.8,80.5,70.8,0,1,Placed,9.4
F,66.0,54.5,65.1,Sci&Tech,Yes,60.1,59.7,77.5,2,2,Placed,7.7
F,73.0,78.3,73.2,Sci&Tech,No,71.6,77.8,68.4,1,2,Placed,10.2
M,73.8,64.0,78.1,Comm&Mgmt,No,62.3,68.4,82.8,3,2,Placed,10.7
M,60.7,73.2,50.5,Sci&Tech,No,58.6,46.4,75.8,0,1,Not Placed,0.0
F,85.9,73.5,82.6,Comm&Mgmt,Yes,75.1,70.3,46.0,1,2,Placed,10.8
M,62.5,67.2,67.6,Sci&Tech,Yes,74.6,98.7,64.2,1,1,Placed,14.2
M,82.7,60.6,75.3,Others,Yes,81.4,74.9,63.8,1,4,Placed,10.7
F,76.7,61.7,83.0,Comm&Mgmt,No,66.8,67.2,75.3,1,2,Placed,9.6
M,64.9,59.0,57.3,Others,Yes,76.9,83.1,41.1,2,2,Placed,10.4
M,91.5,60.0,63.9,Sci&Tech,No,78.6,70.9,98.0,2,2,Placed,8.2
M,58.9,69.2,68.1,Comm&Mgmt,No,77.3,70.9,75.8,3,1,Placed,10.0
M,82.1,61.4,63.2,Sci&Tech,Yes,62.1,52.7,71.6,2,4,Placed,7.0
M,83.0,78.2,88.3,Sci&Tech,No,73.8,71.3,83.0,2,2,Placed,12.3
M,64.6,87.8,62.4,Comm&Mgmt,No,76.4,82.5,95.8,1,2,Placed,9.6
M,87.3,63.0,65.4,Comm&Mgmt,No,72.1,56.3,79.6,2,2,Not Placed,0.0
F,69.2,72.9,73.0,Others,No,47.0,87.9,80.4,1,1,Placed,12.0
F,75.2,76.0,59.0,Comm&Mgmt,No,73.9,66.7,71.4,1,3,Not Placed,0.0
F,74.9,75.7,67.0,Sci&Tech,No,98.6,55.6,68.4,1,2,Placed,6.3
F,70.5,70.9,74.2,Sci&Tech,No,67.7,82.0,64.8,1,2,Placed,11.2
M,80.9,78.9,67.7,Comm&Mgmt,No,63.3,64.0,60.9,0,1,Not Placed,0.0
M,80.7,75.8,70.1,Sci&Tech,Yes,76.5,78.6,62.4,3,1,Placed,12.4
F,52.8,55.1,65.7,Sci&Tech,No,75.7,63.9,55.1,1,3,Placed,6.7
M,86.3,80.4,55.9,Sci&Tech,Yes,86.3,67.2,69.2,0,2,Placed,6.4
F,53.7,80.6,74.2,Sci&Tech,No,56.9,74.9,51.5,1,1,Placed,10.4
M,83.4,60.8,88.5,Sci&Tech,No,80.8,72.1,72.1,0,1,Placed,10.3
F,84.4,70.5,71.2,Sci&Tech,No,79.1,40.1,69.6,0,2,Not Placed,0.0
M,60.0,78.2,73.3,Sci&Tech,No,70.3,52.3,71.6,0,2,Not Placed,0.0
F,67.5,67.5,77.9,Sci&Tech,No,76.1,81.0,64.3,1,2,Placed,11.4
M,59.8,82.9,58.3,Others,No,84.4,66.2,98.0,1,2,Placed,7.7
F,69.6,98.0,88.0,Sci&Tech,Yes,82.5,60.7,85.0,2,1,Placed,10.6
M,68.6,60.6,73.0,Sci&Tech,Yes,58.3,49.0,56.3,2,2,Placed,7.1
M,80.6,53.4,87.3,Comm&Mgmt,No,81.8,52.9,72.6,1,4,Not Placed,0.0
F,86.4,73.6,63.7,Sci&Tech,Yes,71.2,39.7,63.3,1,1,Not Placed,0.0
M,87.4,78.7,89.2,Others,No,72.9,66.6,58.8,1,2,Placed,9.9
F,65.8,67.2,78.8,Comm&Mgmt,Yes,72.9,59.6,55.3,2,2,Placed,9.8
F,69.7,87.4,76.5,Sci&Tech,No,70.2,54.5,74.8,0,2,Not Placed,0.0
M,53.5,53.9,73.3,Sci&Tech,No,86.3,67.0,62.5,0,2,Placed,7.4
F,63.1,78.3,68.5,Comm&Mgmt,No,71.0,73.1,80.6,2,3,Placed,9.7
F,82.6,62.7,83.0,Others,Yes,58.6,97.3,80.9,1,2,Placed,14.4
F,89.8,90.6,72.4,Sci&Tech,No,67.3,46.8,85.1,0,2,Not Placed,0.0
M,58.4,93.9,51.3,Comm&Mgmt,No,74.1,84.2,60.6,0,2,Not Placed,0.0
M,65.5,60.8,59.8,Sci&Tech,No,86.8,81.6,75.2,3,1,Placed,10.7
F,71.7,63.4,69.1,Others,No,79.2,57.1,77.0,2,1,Placed,7.2
F,75.1,80.3,74.1,Sci&Tech,No,61.8,70.8,64.8,1,3,Placed,9.8
M,63.1,65.4,70.4,Others,Yes,99.0,61.6,61.5,1,1,Placed,8.7
F,76.7,69.5,83.2,Comm&Mgmt,No,75.2,70.6,87.7,1,2,Placed,10.3
M,66.8,70.3,51.5,Comm&Mgmt,No,87.3,89.1,72.5,3,2,Placed,10.5
M,71.8,47.0,72.4,Sci&Tech,Yes,70.2,76.5,77.0,3,2,Placed,12.6
M,78.0,69.8,52.8,Sci&Tech,No,78.4,75.1,61.0,0,2,Not Placed,0.0
M,72.1,61.7,78.6,Sci&Tech,Yes,82.1,62.0,56.6,2,2,Placed,9.9
F,67.2,64.1,70.1,Sci&Tech,Yes,86.6,47.2,63.7,0,1,Placed,5.8
M,70.8,87.3,75.2,Sci&Tech,Yes,84.7,65.1,68.6,0,2,Placed,9.1
F,71.0,54.9,62.4,Comm&Mgmt,No,82.5,84.9,58.3,1,2,Placed,10.3
F,67.9,79.8,83.8,Sci&Tech,No,68.2,46.6,69.9,1,2,Placed,6.7
F,69.2,66.7,81.4,Sci&Tech,No,65.1,53.2,51.4,3,2,Placed,9.2
M,89.6,66.6,76.8,Others,No,76.0,69.8,57.7,0,2,Not Placed,0.0
M,78.2,79.5,69.7,Comm&Mgmt,Yes,83.2,54.2,77.4,1,1,Placed,6.8
F,68.7,74.1,76.8,Others,No,69.3,56.9,76.6,2,1,Placed,8.4
F,79.7,76.8,63.9,Others,No,84.8,62.1,65.7,2,1,Placed,7.2
M,68.3,81.6,79.6,Sci&Tech,Yes,89.4,48.9,58.8,0,3,Placed,6.6
F,84.9,66.0,87.5,Sci&Tech,No,61.0,54.4,58.7,1,1,Not Placed,0.0
F,76.1,62.7,81.7,Comm&Mgmt,Yes,62.0,77.8,65.9,1,1,Placed,12.9
F,70.8,57.0,63.7,Comm&Mgmt,No,70.3,49.7,77.1,0,2,Not Placed,0.0
F,76.9,60.1,74.6,Sci&Tech,No,75.7,45.6,80.2,3,1,Placed,7.5
F,54.7,98.0,58.1,Comm&Mgmt,Yes,65.7,59.2,64.5,2,2,Placed,7.1
M,59.6,84.9,76.7,Sci&Tech,Yes,88.2,78.2,57.3,0,1,Placed,11.6
F,58.9,53.8,75.5,Sci&Tech,No,77.1,65.2,72.9,0,1,Not Placed,0.0
F,73.6,54.1,52.3,Sci&Tech,No,72.5,61.5,60.9,0,2,Not Placed,0.0
M,91.1,75.8,59.4,Comm&Mgmt,Yes,54.8,68.6,64.3,2,2,Placed,9.3
M,96.5,76.6,68.2,Comm&Mgmt,No,56.2,43.6,84.6,0,3,Not Placed,0.0
M,79.0,76.6,68.0,Sci&Tech,Yes,75.4,74.9,79.1,1,2,Placed,10.4
F,77.5,66.9,58.9,Comm&Mgmt,No,46.4,73.4,71.7,1,2,Not Placed,0.0
F,52.2,68.5,74.9,Sci&Tech,No,84.2,62.3,56.0,1,2,Not Placed,0.0
M,66.0,73.9,73.5,Sci&Tech,Yes,70.1,82.1,72.3,0,1,Not Placed,0.0
F,63.3,71.0,69.1,Comm&Mgmt,Yes,99.0,52.2,81.7,0,2,Not Placed,0.0
M,65.2,45.0,63.4,Others,Yes,99.0,83.8,65.9,3,2,Placed,11.8
F,70.2,67.2,81.5,Comm&Mgmt,Yes,69.8,70.2,84.9,2,2,Placed,11.9
F,66.8,59.8,87.6,Comm&Mgmt,Yes,70.7,63.3,84.2,2,2,Placed,12.4
F,50.2,72.1,66.2,Comm&Mgmt,No,83.9,67.7,88.3,0,3,Placed,6.6
M,80.2,98.0,64.9,Comm&Mgmt,Yes,92.4,66.5,73.4,1,4,Placed,8.9
M,60.2,74.4,75.9,Sci&Tech,No,52.3,85.1,76.5,1,2,Placed,10.9
M,74.6,66.2,67.4,Sci&Tech,No,50.6,52.9,85.6,0,2,Not Placed,0.0
M,94.8,81.1,69.6,Sci&Tech,No,64.5,57.3,74.9,2,1,Placed,7.2
F,61.9,75.8,78.4,Sci&Tech,No,79.0,82.5,64.5,1,2,Placed,11.1
F,45.0,75.0,51.9,Comm&Mgmt,Yes,78.0,59.7,65.1,0,2,Not Placed,0.0
F,68.9,77.3,84.2,Sci&Tech,No,84.8,80.6,72.6,2,2,Placed,12.7
F,84.1,94.7,71.7,Sci&Tech,No,57.6,91.8,55.8,3,4,Placed,13.9
M,93.5,56.4,66.9,Sci&Tech,No,44.2,62.4,68.4,0,2,Not Placed,0.0
F,58.5,75.7,70.1,Comm&Mgmt,Yes,82.3,77.5,82.1,1,2,Placed,10.7
F,77.5,58.9,70.6,Sci&Tech,No,62.1,51.8,45.9,1,2,Not Placed,0.0
F,66.9,76.7,53.7,Comm&Mgmt,No,47.8,78.6,86.9,1,3,Not Placed,0.0
M,70.8,59.0,85.9,Sci&Tech,Yes,73.7,70.8,82.3,0,2,Placed,10.6
M,98.0,65.0,71.4,Sci&Tech,No,81.5,74.6,64.9,1,2,Placed,9.5
M,55.5,66.5,75.4,Comm&Mgmt,No,70.5,59.0,76.0,3,2,Placed,9.3
F,74.8,81.7,80.5,Comm&Mgmt,No,66.5,44.7,70.0,1,3,Placed,5.6
F,77.1,81.0,60.8,Sci&Tech,No,70.1,75.0,83.5,0,1,Not Placed,0.0
M,83.9,55.1,75.7,Comm&Mgmt,No,67.6,39.1,80.8,1,3,Not Placed,0.0
F,73.1,70.7,68.3,Comm&Mgmt,Yes,55.8,63.6,54.6,1,2,Placed,7.8
F,75.4,61.5,79.5,Sci&Tech,No,63.4,81.2,76.5,2,2,Placed,12.8
M,67.7,54.9,49.7,Comm&Mgmt,No,78.3,70.7,67.7,1,2,Not Placed,0.0
M,75.0,67.4,70.0,Comm&Mgmt,Yes,75.9,95.3,70.9,0,2,Placed,12.4
F,68.2,66.3,65.0,Comm&Mgmt,Yes,74.0,82.4,62.0,0,1,Placed,9.8
M,78.8,98.0,75.3,Comm&Mgmt,No,60.1,58.8,89.2,2,3,Placed,9.0
F,67.9,75.2,75.7,Comm&Mgmt,Yes,69.8,68.4,81.4,0,2,Placed,9.3
M,76.1,53.5,63.9,Comm&Mgmt,No,45.9,67.3,61.9,2,2,Placed,8.6
F,71.7,63.2,63.9,Comm&Mgmt,Yes,74.1,45.8,55.3,0,1,Not Placed,0.0
M,84.4,82.3,69.9,Comm&Mgmt,Yes,89.1,54.8,65.8,1,2,Placed,6.9
M,71.4,95.1,62.0,Comm&Mgmt,Yes,54.3,60.1,74.8,1,2,Placed,7.5
F,52.5,51.0,79.4,Comm&Mgmt,No,65.0,39.5,72.6,3,2,Not Placed,0.0
M,85.9,47.4,67.3,Comm&Mgmt,No,75.9,68.7,83.8,3,2,Placed,9.0
M,62.0,92.5,48.0,Sci&Tech,No,87.0,64.5,78.7,0,2,Not Placed,0.0
M,64.8,74.7,67.3,Comm&Mgmt,No,66.6,44.6,80.7,1,4,Not Placed,0.0
F,65.4,59.6,60.6,Comm&Mgmt,Yes,63.7,73.7,73.6,0,2,Not Placed,0.0
F,87.1,76.4,54.7,Sci&Tech,No,48.4,78.0,54.7,1,3,Not Placed,0.0
