roll_number,department,cgpa,backlogs,internships,technical_skills,technical_skills_count,communication_score,ssc_percentage,hsc_percentage,placement_status,package_offered
IT20220269,IT,7.25,0,1,"Python, C++, Communication, Django, Machine Learning",5,5,85.7,79.7,Placed,11.5
EEE20230270,EEE,7.42,0,2,"Flask, Android, React, Python",4,7,86.5,72.1,Placed,12.8
EEE20240271,EEE,8.21,1,1,"Java, Android, Excel, AWS, C++",5,7,67.4,74.2,Placed,12.1
EEE20210272,EEE,8.38,2,0,"Python, AWS, C++, React",4,6,84.9,75.7,Not Placed,
CSE20220273,CSE,7.74,1,0,"Android, JavaScript, SQL, Python",4,5,66,68,Not Placed,
IT20230274,IT,7.46,0,0,"React, Flask, SQL, Communication, Machine Learning",5,9,75.6,98.1,Placed,14.7
IT20240275,IT,7.92,0,1,"JavaScript, Excel",2,9,72.6,76.2,Placed,7.4
ECE20210276,ECE,5.83,0,3,React,1,2,73.9,77.2,Placed,9
MECH20220277,MECH,8.04,0,1,"Data Structures, Excel, Communication, Python",4,5,84.4,72.3,Placed,11.7
CSE20230278,CSE,8.83,3,0,"SQL, Communication, Data Structures, Machine Learning, C++",5,5,80.2,70.4,Placed,13.4
MECH20240279,MECH,7.44,1,3,"SQL, Java, Android",3,6,64.7,75.6,Placed,11.5
CSE20210280,CSE,6.59,3,0,"Python, Django, SQL",3,3,71.6,76.3,Not Placed,
ECE20220281,ECE,6.48,1,1,"Flask, JavaScript",2,4,79.4,78.9,Not Placed,
CIVIL20230282,CIVIL,8.99,0,0,Machine Learning,1,10,98.1,74.6,Placed,12
ECE20240283,ECE,5.31,0,2,"Data Structures, Communication, C++",3,5,72.2,59.5,Not Placed,
EEE20210284,EEE,7.23,0,1,"Communication, Excel, Python, SQL",4,8,75.7,81.8,Placed,11.1
EEE20220285,EEE,7.27,0,2,"Communication, Data Structures, Flask, JavaScript",4,6,90.2,75.7,Placed,14
CIVIL20230286,CIVIL,6.39,1,1,"JavaScript, Communication, Flask, AWS, SQL",5,5,75.3,69.9,Placed,9.7
ECE20240287,ECE,7,0,0,"Excel, Flask, Java, JavaScript",4,8,70.9,87.2,Placed,10.5
ECE20210288,ECE,6.73,1,0,"React, Communication, C++, SQL",4,5,85.2,90.3,Placed,10.6
ECE20220289,ECE,6.48,0,2,"Communication, JavaScript, SQL, Excel, Data Structures",5,7,74.5,74.5,Not Placed,
ECE20230290,ECE,6.75,0,0,"Django, AWS, Machine Learning, SQL",4,5,80,82.2,Placed,11.2
IT20240291,IT,8.2,0,1,"React, Python, Android, Java, SQL",5,6,70.9,99,Placed,10.2
IT20210292,IT,8.25,3,1,"Data Structures, Java, Python, Django, AWS",5,5,99,77.4,Not Placed,
ECE20220293,ECE,6.78,0,0,"Excel, Java, Communication",3,4,80.2,69.5,Not Placed,
EEE20230294,EEE,8.28,1,1,"C++, Communication, Machine Learning, Django, Data Structures",5,7,72.4,61.2,Placed,12.2
ECE20240295,ECE,6.78,0,0,"Machine Learning, Java, Data Structures",3,7,72.3,84.9,Not Placed,
EEE20210296,EEE,7.18,0,1,"Data Structures, SQL",2,7,96,90.7,Placed,12.1
CIVIL20220297,CIVIL,7.14,0,2,"Django, Communication",2,7,85.8,85.2,Placed,8.9
CIVIL20230298,CIVIL,6.14,0,1,"Machine Learning, Java, Data Structures, SQL",4,7,85.8,80.7,Not Placed,
CIVIL20240299,CIVIL,7.6,0,0,"Data Structures, JavaScript, Communication",3,5,77.9,68.9,Placed,10.5
ECE20210300,ECE,6.27,0,1,Django,1,4,80.5,73.3,Placed,11.3
IT20220301,IT,5.55,0,0,"Excel, Communication, SQL, Machine Learning",4,4,60.2,81.5,Placed,11.3
CIVIL20230302,CIVIL,6.97,0,0,"JavaScript, Django",2,4,63.2,67.1,Not Placed,
MECH20240303,MECH,7.01,0,0,"SQL, Flask",2,8,79.1,68,Not Placed,
MECH20210304,MECH,6.8,0,2,"Flask, Android",2,4,68.7,84.5,Placed,9.6
CIVIL20220305,CIVIL,6.44,0,0,Communication,1,6,76.8,70.4,Not Placed,
CSE20230306,CSE,7.04,1,3,"AWS, C++, Flask, React, Java",5,8,85,68.8,Placed,12.9
CIVIL20240307,CIVIL,7.33,0,2,"Data Structures, Flask",2,6,89,72.2,Placed,9.9
MECH20210308,MECH,6.6,0,1,"Django, Data Structures, React",3,8,73.9,75.5,Placed,10.4
MECH20220309,MECH,8.85,1,0,"Flask, SQL",2,8,72.8,75.5,Placed,12.9
EEE20230310,EEE,8.65,0,1,"Django, C++, AWS, Excel",4,6,76.6,78.3,Placed,12.2
CSE20240311,CSE,6.91,2,2,"Flask, Android",2,4,82.5,51.4,Placed,12.1
ECE20210312,ECE,7.86,0,1,"Django, JavaScript, AWS",3,6,70.4,74.4,Not Placed,
ECE20220313,ECE,6.89,0,0,AWS,1,8,82.2,73.3,Not Placed,
CIVIL20230314,CIVIL,7.02,0,0,"Communication, C++, SQL",3,6,73.4,65.3,Placed,13
CSE20240315,CSE,7.54,0,1,"Excel, C++, Python",3,6,78.2,78.2,Placed,11.3
CIVIL20210316,CIVIL,4.5,0,0,Data Structures,1,5,83.3,83.8,Placed,8.2
CIVIL20220317,CIVIL,4.5,1,0,"SQL, JavaScript",2,6,94,93.2,Placed,7.1
IT20230318,IT,8.35,0,0,"Flask, React",2,5,68.7,81.4,Placed,12.5
CSE20240319,CSE,7.78,0,1,"React, AWS, C++, SQL, Communication",5,6,77.8,85.8,Placed,9
EEE20210320,EEE,7.05,3,2,React,1,6,75.5,73.2,Placed,8.6
ECE20220321,ECE,6.53,1,0,Django,1,7,89.4,71.2,Placed,10.4
EEE20230322,EEE,5.63,0,0,"Communication, Python",2,7,76.4,59.6,Not Placed,
CSE20240323,CSE,7.5,1,1,"Data Structures, Python, JavaScript, Machine Learning, SQL",5,5,74.3,67.5,Placed,9.8
IT20210324,IT,6.69,0,1,"Excel, React, C++, AWS",4,7,82.2,76.3,Not Placed,
EEE20220325,EEE,7.69,0,1,"Machine Learning, React, C++, JavaScript, Flask",5,7,80.5,62.6,Placed,11.4
IT20230326,IT,6.76,1,1,"Python, AWS, C++",3,4,78,62.5,Placed,10.1
EEE20240327,EEE,7.25,0,2,"Java, Communication",2,8,77.8,82.1,Placed,15
IT20210328,IT,7.94,0,2,"Communication, Python, Data Structures, SQL, JavaScript",5,5,82.8,67.7,Placed,11.9
EEE20220329,EEE,6.81,0,1,"Machine Learning, Django",2,4,69.1,80.9,Placed,10.2
ECE20230330,ECE,7.74,0,1,Machine Learning,1,9,85.2,83.7,Placed,11.6
EEE20240331,EEE,5.95,2,0,"JavaScript, Java, Communication, C++, Machine Learning",5,8,95.6,85.8,Not Placed,
MECH20210332,MECH,7.28,0,0,"Django, C++",2,4,69.4,84.3,Placed,13.6
MECH20220333,MECH,7.09,0,3,"JavaScript, Excel, Communication",3,7,91.1,73,Placed,11.3
CSE20230334,CSE,7.84,0,2,"Python, Java, Android, JavaScript",4,10,74.6,70.9,Placed,10.3
ECE20240335,ECE,8.02,0,0,JavaScript,1,7,73.8,57.6,Placed,8.2
EEE20210336,EEE,6.27,0,2,"Java, Android, Django",3,5,68.1,86.3,Not Placed,
CIVIL20220337,CIVIL,7.43,0,2,"React, AWS, SQL, Android",4,6,93.1,66.6,Placed,11.2
CIVIL20230338,CIVIL,7.87,0,0,Python,1,5,83.4,69.9,Placed,10.2
CIVIL20240339,CIVIL,7.46,0,2,"Django, Flask, Android",3,5,67.3,74.7,Placed,9.9
EEE20210340,EEE,7.97,0,1,"Flask, C++, SQL, JavaScript",4,7,78.3,68.4,Placed,11.9
IT20220341,IT,8.91,1,1,"Excel, Data Structures, SQL",3,6,70.9,81.5,Placed,12.2
IT20230342,IT,5.94,0,2,SQL,1,5,71.8,76.5,Placed,9.3
IT20240343,IT,6.05,0,0,JavaScript,1,8,82.9,73,Not Placed,
MECH20210344,MECH,7.43,1,0,Java,1,7,85.6,71.6,Not Placed,
EEE20220345,EEE,7.67,3,0,Machine Learning,1,5,71,74.9,Placed,11.6
CIVIL20230346,CIVIL,5.62,1,3,"AWS, Data Structures, Communication, SQL, Java",5,5,69,77.8,Placed,9
EEE20240347,EEE,7.39,1,0,"Android, JavaScript, C++",3,6,83.3,73.3,Placed,11
ECE20210348,ECE,8.49,0,2,"Django, React, Java, Excel, Android",5,5,85.4,72,Placed,11.8
EEE20220349,EEE,7.85,0,2,Excel,1,6,71.8,82.3,Placed,12.1
CIVIL20230350,CIVIL,7.86,0,2,"React, SQL, C++, Django",4,7,92.7,68.4,Placed,14.4
ECE20240351,ECE,8.07,0,1,"Python, Django",2,6,84.6,78.8,Placed,12.4
CSE20210352,CSE,5.65,1,1,Python,1,5,85.9,86.7,Not Placed,
ECE20220353,ECE,6.78,1,0,"AWS, C++, Data Structures",3,4,67.9,68,Placed,11.1
EEE20230354,EEE,6.77,1,2,"Machine Learning, Excel, Python, JavaScript",4,4,70.8,67.6,Placed,9
MECH20240355,MECH,6.89,0,2,"Data Structures, SQL, React, Android, Machine Learning",5,6,81.9,75.7,Placed,10.9
ECE20210356,ECE,6.19,1,2,"Data Structures, React",2,6,85.8,78.5,Placed,12.2
IT20220357,IT,7.03,3,0,Python,1,5,74,70.4,Not Placed,
ECE20230358,ECE,6.48,0,2,"React, JavaScript, SQL, AWS, Data Structures",5,6,77.8,73.6,Placed,10.7
EEE20240359,EEE,5.73,0,0,"C++, Machine Learning, Data Structures",3,5,77.6,76,Placed,8.7
EEE20210360,EEE,7.14,0,3,"Communication, SQL",2,8,81.2,81.8,Placed,12.1
ECE20220361,ECE,8.42,0,3,"Flask, Android, Java, Communication, Data Structures",5,4,67.4,55.4,Placed,11.6
CIVIL20230362,CIVIL,7.38,1,2,"Communication, Machine Learning",2,5,73,66.2,Not Placed,
MECH20240363,MECH,8.23,1,0,"JavaScript, Django, Flask",3,5,62.2,69.9,Placed,10.1
IT20210364,IT,6.51,0,0,"AWS, Java, Data Structures",3,3,78.9,71.9,Placed,9.8
ECE20220365,ECE,6.34,1,1,"SQL, Machine Learning, Data Structures",3,5,78.6,77.7,Not Placed,
IT20230366,IT,7.43,0,3,"Communication, Flask, SQL, Java, JavaScript",5,3,75.8,74.9,Placed,14.3
IT20240367,IT,7.49,0,1,"Android, Data Structures, Java",3,6,80.4,82.4,Placed,12.3
MECH20210368,MECH,7.46,0,1,"Machine Learning, Excel, JavaScript, Django",4,7,67.8,73.8,Placed,10.7
CSE20220369,CSE,6.63,0,0,"Django, C++, JavaScript, React",4,3,71.7,67.9,Not Placed,
ECE20230370,ECE,6.08,0,0,"Django, React, Python",3,4,72,69,Placed,12.5
CIVIL20240371,CIVIL,6.53,1,0,"AWS, Machine Learning, React, JavaScript",4,7,84.2,68.5,Placed,10.9
ECE20210372,ECE,6.74,0,1,Django,1,7,87,80.8,Not Placed,
MECH20220373,MECH,6.92,0,1,C++,1,3,77.1,83.9,Placed,10.2
EEE20230374,EEE,7.22,0,1,"SQL, Flask, Machine Learning, Data Structures",4,8,90.3,70,Not Placed,
IT20240375,IT,6.97,0,0,"Excel, Django, Python, Communication",4,9,76.6,79.4,Placed,11.4
EEE20210376,EEE,7.44,0,2,JavaScript,1,5,71.7,76.4,Placed,9.5
ECE20220377,ECE,7.53,0,1,"Django, Excel, Machine Learning, AWS, Communication",5,5,78.7,88.1,Placed,14.2
CSE20230378,CSE,8.64,0,1,"Java, Python, Machine Learning",3,7,86.6,84.1,Placed,12
EEE20240379,EEE,6.37,0,1,Communication,1,3,70.3,73.6,Placed,7.1
ECE20210380,ECE,6.22,1,3,"Communication, Android",2,6,76.8,79.6,Not Placed,
MECH20220381,MECH,6.14,0,1,"Android, SQL, Django",3,6,80.3,76.3,Placed,10.5
EEE20230382,EEE,7,0,2,Excel,1,4,75.1,67.2,Placed,11.3
EEE20240383,EEE,7.61,0,1,"Django, Java, C++",3,6,74.5,90.5,Placed,12.9
IT20210384,IT,7.08,3,1,"Data Structures, Excel, Machine Learning, Communication",4,6,74.9,71.6,Not Placed,
CSE20220385,CSE,7.84,0,0,"AWS, Communication",2,5,79.6,74.8,Placed,9.8
EEE20230386,EEE,7.98,0,1,SQL,1,4,76.4,64.5,Placed,8.9
CIVIL20240387,CIVIL,8.69,1,2,Excel,1,4,83.8,76.5,Placed,10.2
CIVIL20210388,CIVIL,7.1,0,0,"Machine Learning, React, Excel",3,9,65,52.4,Placed,12.6
EEE20220389,EEE,8.14,0,1,"Machine Learning, AWS, C++, Python, JavaScript",5,6,87.5,73.9,Placed,8.9
CIVIL20230390,CIVIL,8.6,0,1,"Excel, React, C++",3,3,92.7,80.4,Placed,11.9
CIVIL20240391,CIVIL,6.13,0,0,"Machine Learning, React, AWS, Android",4,7,68.4,61.6,Placed,7.7
MECH20210392,MECH,7.68,0,1,"React, Django",2,4,91.8,76.8,Placed,10.8
IT20220393,IT,8.55,0,0,"Django, Java, C++",3,7,92.1,82.1,Not Placed,
EEE20230394,EEE,6.06,0,0,Excel,1,2,75.2,73,Not Placed,
CSE20240395,CSE,7.84,0,1,"Communication, Django, React, Machine Learning, C++",5,6,78.2,71.5,Placed,12.5
CIVIL20210396,CIVIL,6.42,0,1,"SQL, Django, Data Structures, Flask, Excel",5,5,79.4,51.9,Not Placed,
MECH20220397,MECH,7.71,1,1,C++,1,6,82.8,57.1,Placed,10.6
MECH20230398,MECH,8.24,0,0,"React, Django, Android, Machine Learning",4,8,78,83.7,Not Placed,
CSE20240399,CSE,7.81,1,0,"Machine Learning, Communication, Django, Excel",4,7,84.9,73.9,Placed,12.8
MECH20210400,MECH,7.1,0,0,"Django, Java, AWS, Excel, Data Structures",5,5,80.3,64.2,Placed,14.1
ECE20220401,ECE,6.69,0,1,"Django, Communication",2,6,79.1,63.2,Placed,9.7
CIVIL20230402,CIVIL,7.58,0,2,"Java, Machine Learning, React, SQL",4,8,77.2,86.1,Placed,12.9
CSE20240403,CSE,7.48,0,0,"Data Structures, AWS, C++, JavaScript, Python",5,5,78.7,84.1,Placed,12.1
MECH20210404,MECH,7.65,0,0,"Java, Django",2,5,84.9,59.7,Placed,11.9
MECH20220405,MECH,7.85,0,0,"React, SQL, AWS, JavaScript, Python",5,6,78.3,81.8,Placed,13
ECE20230406,ECE,7.47,0,2,"Java, Excel, JavaScript",3,4,63.8,74.9,Placed,13.9
EEE20240407,EEE,6.51,0,2,"Python, Django, C++, Data Structures",4,9,82.5,69.6,Placed,12.8
MECH20210408,MECH,7.09,0,0,"AWS, Excel, Flask",3,5,84,76.1,Placed,13.8
CIVIL20220409,CIVIL,7.32,0,1,"SQL, React, JavaScript, Android, Machine Learning",5,6,75.4,69.6,Placed,11.8
MECH20230410,MECH,8.28,0,0,"C++, Data Structures, Android, Communication, Excel",5,9,83.5,76.1,Placed,14.1
ECE20240411,ECE,6.69,0,3,"Machine Learning, Django, AWS",3,4,85.1,62.6,Placed,12.3
CIVIL20210412,CIVIL,6.76,0,0,"JavaScript, React, Data Structures, Flask, C++",5,5,72.3,71.9,Placed,9
CSE20220413,CSE,7.3,0,0,"Flask, Data Structures, JavaScript, React, Machine Learning",5,7,79.1,91.1,Placed,12.4
CSE20230414,CSE,7.1,0,0,"Communication, Data Structures, Android, JavaScript, Excel",5,8,72.9,78.6,Placed,8.9
CSE20240415,CSE,8.53,2,1,"JavaScript, Flask",2,3,89.5,64.6,Not Placed,
IT20210416,IT,6.79,0,0,"Excel, AWS, C++, Communication",4,4,63.6,71.5,Placed,11.6
CIVIL20220417,CIVIL,8.06,3,1,Data Structures,1,6,64.1,60.7,Not Placed,
CSE20230418,CSE,8.07,1,1,Excel,1,9,95.4,71.3,Placed,11.7
MECH20240419,MECH,6.84,0,3,"SQL, Java, JavaScript, C++, Communication",5,6,73.8,72.2,Not Placed,
IT20210420,IT,6.47,2,0,"Java, SQL",2,5,79.1,75.7,Not Placed,
CIVIL20220421,CIVIL,8.07,0,3,Django,1,6,77,65.4,Placed,8.5
MECH20230422,MECH,7.57,2,1,"JavaScript, Communication, Data Structures",3,5,82.3,75.6,Not Placed,
CSE20240423,CSE,6.62,1,0,"Communication, JavaScript, Android, Django",4,6,74.7,76.4,Placed,11.8
MECH20210424,MECH,7.61,0,2,"Communication, Python, C++",3,7,82.2,76.4,Placed,10.6
IT20220425,IT,6.37,1,0,"Excel, Java, Machine Learning, Communication",4,6,76.9,73.5,Placed,7.9
CSE20230426,CSE,6.99,0,0,JavaScript,1,7,72.6,73.2,Not Placed,
EEE20240427,EEE,6.73,0,3,"JavaScript, Communication, Java, Machine Learning, React",5,9,66.9,75.3,Placed,12.2
EEE20210428,EEE,7.96,0,0,Excel,1,7,65.3,69,Placed,10.5
CSE20220429,CSE,7.65,0,1,"C++, Android, Data Structures, JavaScript, Python",5,8,77,71.4,Placed,10.9
ECE20230430,ECE,6.18,0,2,"Flask, Data Structures",2,5,73.6,79.6,Placed,10.5
ECE20240431,ECE,6.91,3,1,Java,1,4,82.5,81.6,Not Placed,
EEE20210432,EEE,6.12,0,0,AWS,1,6,83.9,83.1,Placed,9.5
IT20220433,IT,7,1,1,"Flask, Communication",2,5,77.6,80.9,Not Placed,
CIVIL20230434,CIVIL,6.75,0,0,"Flask, Python, Java",3,5,81,75.6,Placed,12.7
IT20240435,IT,6.06,0,0,"React, JavaScript, SQL, Data Structures",4,4,83.3,82.2,Placed,11.1
MECH20210436,MECH,6.1,0,1,"Django, Java, Communication, JavaScript, React",5,8,71.9,72.2,Placed,12.5
ECE20220437,ECE,5.63,0,3,"Flask, AWS, C++, Python",4,7,80.4,56.5,Placed,8
CIVIL20230438,CIVIL,6.34,0,0,"Flask, React, Python",3,7,73.9,65.8,Placed,9.9
CSE20240439,CSE,6.25,0,0,"Machine Learning, Flask, Django, React, Communication",5,6,79,90,Not Placed,
EEE20210440,EEE,6.98,0,0,Machine Learning,1,7,77.4,74.6,Placed,12.4
CIVIL20220441,CIVIL,8.51,0,3,"Android, JavaScript, Django",3,7,76.8,84.9,Placed,12.8
MECH20230442,MECH,4.79,0,0,"Excel, Java, JavaScript, Python, Communication",5,6,87.9,86,Not Placed,
ECE20240443,ECE,8.12,0,2,"Data Structures, AWS, Excel, Python, SQL",5,4,69.6,76.6,Placed,12.6
ECE20210444,ECE,7.54,1,0,"Flask, Java",2,8,65.5,79.1,Placed,10.5
ECE20220445,ECE,7.16,0,0,C++,1,3,80.4,61.1,Placed,11.4
MECH20230446,MECH,6.95,1,3,"Django, AWS, Communication",3,7,74.8,60.7,Placed,11.3
EEE20240447,EEE,7.12,1,2,"Machine Learning, React, SQL, AWS",4,6,70.8,69.1,Placed,10.6
EEE20210448,EEE,9.12,2,1,C++,1,8,86.1,81.1,Placed,13.6
ECE20220449,ECE,7.07,0,2,"Java, Android, Communication",3,5,80.5,92.3,Placed,11
EEE20230450,EEE,8.14,0,1,"Excel, Data Structures, SQL, AWS",4,6,82.5,84.8,Placed,13
MECH20240451,MECH,7.66,0,3,"Flask, Machine Learning, Python, Data Structures",4,8,83.2,70.9,Placed,11.5
IT20210452,IT,6.05,0,0,Android,1,8,72.7,72.1,Placed,10.3
ECE20220453,ECE,7.57,2,0,"Flask, JavaScript",2,4,64.4,75,Not Placed,
CSE20230454,CSE,7.11,0,3,"JavaScript, Data Structures, Android, Machine Learning, React",5,6,77.6,75.6,Placed,14.2
ECE20240455,ECE,5.76,2,1,"SQL, AWS, Django",3,6,83.1,75.7,Placed,9
ECE20210456,ECE,7.83,1,3,"Python, Communication, Data Structures, C++",4,4,78,66.3,Not Placed,
ECE20220457,ECE,4.76,1,0,"Java, Flask",2,7,73.2,61.5,Not Placed,
EEE20230458,EEE,7.19,0,1,Data Structures,1,7,65.3,71,Not Placed,
IT20240459,IT,7.22,0,2,"React, Machine Learning, AWS, C++, Python",5,8,84.1,65.2,Placed,12.8
CSE20210460,CSE,7.68,1,2,"JavaScript, SQL",2,8,90.1,85.1,Placed,13.7
CIVIL20220461,CIVIL,8.59,0,0,Data Structures,1,8,99,63.8,Placed,12.1
ECE20230462,ECE,7.71,0,1,"Excel, SQL, C++",3,7,73.8,68.6,Placed,10.7
MECH20240463,MECH,8.09,0,1,"SQL, Django",2,5,51.2,71.3,Not Placed,
EEE20210464,EEE,7.41,0,1,"Communication, React, Java",3,6,87.2,72.7,Placed,10.9
CIVIL20220465,CIVIL,6.98,0,1,"SQL, Python, Excel",3,4,80.2,85.4,Placed,12.8
CIVIL20230466,CIVIL,7.41,0,0,"Data Structures, Java, Android, SQL, Flask",5,6,76.1,77.2,Placed,12
CIVIL20240467,CIVIL,8.41,1,1,"React, Python, C++, AWS, Data Structures",5,6,90.5,57.4,Placed,10.7
CSE20210468,CSE,6.7,2,3,"Django, Excel, JavaScript, SQL",4,6,84.8,74,Placed,10.2
IT20220469,IT,7.25,1,1,"SQL, Python, JavaScript, C++",4,6,89.7,87.1,Placed,11.7
MECH20230470,MECH,7.5,0,1,SQL,1,6,74.6,72,Placed,11.3
IT20240471,IT,6.89,1,0,"Android, SQL, AWS, Communication, JavaScript",5,5,82.6,70.5,Placed,10.7
CIVIL20210472,CIVIL,6.18,0,1,"Java, SQL, Communication, Data Structures, Excel",5,6,77.8,92.6,Placed,12.2
EEE20220473,EEE,7.99,0,2,"React, Communication, Machine Learning",3,8,88.3,87.6,Placed,11.9
MECH20230474,MECH,5.5,1,1,Java,1,5,78.7,82.5,Not Placed,
CIVIL20240475,CIVIL,7.6,0,0,"Python, Django, Flask, Android",4,4,85,74.6,Placed,13.4
CIVIL20210476,CIVIL,6.86,0,1,"Communication, Android, Machine Learning, Django",4,6,91.7,80.9,Placed,11.3
IT20220477,IT,7.76,0,0,"Communication, Python, Excel",3,4,67.1,76.1,Not Placed,
CSE20230478,CSE,7.44,1,1,Communication,1,2,80.4,82.5,Not Placed,
EEE20240479,EEE,7.83,0,1,"Excel, Python, JavaScript, SQL, Data Structures",5,5,77.1,92.1,Placed,12
CIVIL20210480,CIVIL,7.72,1,1,"Excel, Java",2,6,64.1,74.5,Placed,9.2
MECH20220481,MECH,5.47,3,2,AWS,1,7,91,78.5,Not Placed,
IT20230482,IT,7.35,0,0,"Data Structures, JavaScript, SQL, React, Communication",5,7,69.3,77.5,Not Placed,
MECH20240483,MECH,4.78,0,0,Flask,1,4,79.1,73.2,Not Placed,
EEE20210484,EEE,7.66,0,0,Flask,1,6,89,74.9,Not Placed,
EEE20220485,EEE,7.13,0,3,"Django, Communication, Java, JavaScript",4,7,81.2,77.2,Placed,10.9
CIVIL20230486,CIVIL,7.55,2,3,"Machine Learning, AWS, Python",3,8,76.8,69.1,Placed,12.8
EEE20240487,EEE,7,0,0,"Flask, Data Structures, Excel, Python",4,6,75.1,70.9,Placed,12
MECH20210488,MECH,5.95,0,0,"Java, JavaScript, Machine Learning, Data Structures",4,6,67.4,81.3,Placed,9.3
CSE20220489,CSE,6.73,0,0,"SQL, Flask, Java, React, Django",5,5,74.4,65.9,Not Placed,
CSE20230490,CSE,6.19,2,2,"AWS, Django",2,8,90.9,95.2,Not Placed,
MECH20240491,MECH,6.68,1,1,Android,1,5,81.3,82.7,Not Placed,
MECH20210492,MECH,6.38,1,0,C++,1,6,85.2,63.5,Not Placed,
MECH20220493,MECH,6.94,1,0,"React, Flask, Communication",3,9,84.2,86.7,Placed,9.5
CSE20230494,CSE,8.14,0,1,"Python, Excel",2,4,82.5,68,Not Placed,
IT20240495,IT,8.47,0,0,"React, JavaScript, Django",3,7,84.5,65.5,Placed,10.1
MECH20210496,MECH,8.33,2,3,"Java, Django, C++",3,7,70.7,74.8,Placed,11.5
CSE20220497,CSE,6.98,0,0,"C++, SQL",2,6,80.2,82,Not Placed,
MECH20230498,MECH,6.99,1,2,"Flask, Excel, Communication",3,8,82.8,66.7,Placed,10.2
CSE20240499,CSE,7.17,0,0,"Android, React, C++",3,7,74.3,72,Placed,12.1
EEE20210500,EEE,8.43,3,3,"Android, C++, Excel, Communication, Java",5,6,78.2,83,Placed,11.9
CSE20220501,CSE,7.45,0,1,"AWS, Data Structures, Excel, C++, Flask",5,10,78.4,84.4,Placed,10.4
CIVIL20230502,CIVIL,7.03,0,0,"Machine Learning, SQL, AWS, React, Excel",5,7,65.7,82.1,Placed,12.6
ECE20240503,ECE,7.34,0,1,"Java, JavaScript",2,7,77.8,70.8,Placed,9.4
EEE20210504,EEE,5.36,0,0,"React, Flask, Machine Learning",3,5,77.7,70.3,Not Placed,
MECH20220505,MECH,5.83,0,2,"React, AWS, SQL, JavaScript",4,7,77.8,72.9,Placed,8.1
ECE20230506,ECE,6.31,0,3,"C++, SQL, Machine Learning, AWS, Android",5,5,81.9,59.4,Placed,9.6
MECH20240507,MECH,7.24,1,0,"Java, AWS",2,7,60.1,73.6,Not Placed,
CSE20210508,CSE,6.27,0,3,"Django, Java, Machine Learning",3,8,64.8,69.9,Placed,9.7
ECE20220509,ECE,7.49,2,0,"Excel, C++",2,8,81.4,69.7,Not Placed,
CSE20230510,CSE,7.71,0,0,"Flask, Android, Data Structures, AWS",4,6,65.7,80.8,Placed,12
CIVIL20240511,CIVIL,7.09,0,1,"Android, Python, Machine Learning",3,5,82.1,99,Placed,11.5
IT20210512,IT,8.37,0,1,"AWS, Java, JavaScript, Machine Learning, React",5,5,75.4,63.5,Placed,14.2
ECE20220513,ECE,7.2,3,3,"Django, Flask",2,7,78,85.1,Not Placed,
EEE20230514,EEE,7.01,1,2,"Machine Learning, Android, AWS, Python",4,8,74,79.9,Placed,12.1
IT20240515,IT,7.97,0,1,"AWS, Machine Learning",2,7,79.6,78.9,Not Placed,
ECE20210516,ECE,8.1,0,3,"Django, React, Flask",3,7,68.2,79.9,Placed,10.8
EEE20220517,EEE,7.13,0,0,Excel,1,5,87.9,87.1,Placed,10.1
CIVIL20230518,CIVIL,6.95,0,1,AWS,1,4,71.1,72.9,Placed,10.5
MECH20240519,MECH,7.93,0,1,"SQL, Android, Excel, C++",4,8,77,88.1,Placed,13.2
ECE20210520,ECE,6.38,1,1,Data Structures,1,7,85.7,80.2,Not Placed,
MECH20220521,MECH,7.68,0,1,Python,1,5,74.4,75.7,Placed,12.7
CSE20230522,CSE,6.45,0,0,Communication,1,5,76.7,70,Placed,10.5
MECH20240523,MECH,6.03,0,3,Communication,1,7,84.1,62.1,Placed,10.5
CIVIL20210524,CIVIL,6.3,2,0,"Machine Learning, React, Communication, JavaScript, Django",5,10,64.6,70.5,Not Placed,
CSE20220525,CSE,7.08,1,1,"Communication, SQL, Python, Excel",4,7,69.7,80.5,Not Placed,
ECE20230526,ECE,5.93,0,0,"Machine Learning, Django, Excel, JavaScript, Flask",5,5,84.9,82.3,Placed,10.2
IT20240527,IT,6.38,0,3,"Flask, Java, JavaScript",3,4,76.1,86.6,Placed,10.6
CIVIL20210528,CIVIL,7.34,2,1,Django,1,5,81.6,68.1,Placed,10.4
EEE20220529,EEE,7.71,1,2,"Python, AWS, C++",3,6,79.3,75.4,Placed,8.4
IT20230530,IT,7.73,0,0,"Java, Communication",2,3,81.6,75,Placed,10.4
CIVIL20240531,CIVIL,9.24,0,0,"Data Structures, Django, Machine Learning, Flask",4,6,88.9,73.3,Placed,14
MECH20210532,MECH,8.38,1,1,"JavaScript, Android, Excel, AWS",4,8,82.1,85.4,Placed,12.2
CIVIL20220533,CIVIL,9.14,0,0,"SQL, Data Structures, Excel, JavaScript",4,5,79.3,77.7,Not Placed,
IT20230534,IT,6.5,0,1,"C++, JavaScript, React",3,6,66.2,79.8,Not Placed,
ECE20240535,ECE,5.36,0,2,SQL,1,7,82.6,85.9,Not Placed,
CIVIL20210536,CIVIL,7.18,0,1,"React, Python, Machine Learning, SQL, Flask",5,6,74,73.4,Placed,12.9
EEE20220537,EEE,9.97,0,1,"JavaScript, Communication, AWS",3,5,69.5,73.3,Placed,14.8
